direction,run,accuracy,precision,recall
odd→even,0,0.8338717120443009,0.7869142351900973,0.8820614469772051
odd→even,1,0.8338717120443009,0.7894736842105263,0.8771060455896927
odd→even,2,0.8306414397784956,0.7855871886120996,0.8751238850346879
odd→even,3,0.8306414397784956,0.7855871886120996,0.8751238850346879
odd→even,4,0.8338717120443009,0.787422497785651,0.8810703666997026
even→odd,0,0.8584422967595224,0.874439461883408,0.8505997818974919
even→odd,1,0.8590108015918135,0.8729096989966555,0.8538713195201745
even→odd,2,0.8573052870949404,0.8758465011286681,0.8462377317339149
even→odd,3,0.8590108015918135,0.8771138669673055,0.8484187568157033
even→odd,4,0.8584422967595224,0.8752808988764045,0.8495092693565977
